# the same paste with the limestone removed -- isothermal calorimetry at 20 C, per gram of binder
# produced by scripts/precompute_docs.jl -- do not edit by hand
# ChemistryLab version: 0.18.0
# commit: e2996fd0
# generated: 2026-09-12 10:53
# instants: 80 log-spaced over 28.0 days
# w/b 0.50, Blaine default, 20 C, 1 kg of binder
# clinker (mass fractions): (C3S = 0.65, C2S = 0.11, C3A = 0.11, C4AF = 0.08)
# T_semiadiabatic_K: the Langavant cell of NF EN 196-9, same run
time_s,Q_J_per_g,heat_flow_W_per_g,T_semiadiabatic_K
6.580338e+04,1.571163e+02,1.586793e-03,3.122714e+02
7.129111e+04,1.654631e+02,1.455094e-03,3.125608e+02
7.723650e+04,1.737525e+02,1.333341e-03,3.127329e+02
8.367771e+04,1.819787e+02,1.220870e-03,3.127840e+02
9.065609e+04,1.901361e+02,1.117062e-03,3.127119e+02
9.821643e+04,1.982194e+02,1.021284e-03,3.125161e+02
1.064073e+05,2.062226e+02,9.328549e-04,3.121974e+02
1.152812e+05,2.141383e+02,8.504268e-04,3.117574e+02
1.248952e+05,2.219452e+02,7.726848e-04,3.111982e+02
1.353109e+05,2.296150e+02,7.004137e-04,3.105260e+02
1.465953e+05,2.371442e+02,6.344163e-04,3.097512e+02
1.588208e+05,2.445300e+02,5.742241e-04,3.088868e+02
1.720658e+05,2.517700e+02,5.192842e-04,3.079473e+02
1.864154e+05,2.588594e+02,4.705362e-04,3.069522e+02
2.019616e+05,2.658371e+02,4.301143e-04,3.059293e+02
2.188044e+05,2.727904e+02,3.917482e-04,3.048906e+02
2.370518e+05,2.795836e+02,3.531447e-04,3.038418e+02
2.568209e+05,2.862158e+02,3.181403e-04,3.028016e+02
2.782388e+05,2.926868e+02,2.864319e-04,3.017877e+02
3.014427e+05,2.989969e+02,2.577369e-04,3.008160e+02
3.265818e+05,3.051466e+02,2.317923e-04,2.999005e+02
3.538174e+05,3.111369e+02,2.083545e-04,2.990519e+02
3.833243e+05,3.169692e+02,1.871983e-04,2.982781e+02
