# Isothermal calorimetry of a CEM II-B-S 32.5 R Mokra paste — slag-blended Portland
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 149-CEM II-B-S 32.5 R Mokra-380.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM II/B-S 32.5 R-380 ID 848 883, Mokra
# blaine: 380 m2/kg
# wb: 0.40
# temperature: 20C
# Truncated from line: 175 with assigned time: 0.75 h normalized with binder mass: 17.871 g
# Released heat up to 45 minutes (J/g of binder): 9.4
# reference fit by the depositors: Fitted affinity hydration model, B1 0.925448 h^-1, B2 1.254e-03, eta 6.9010, DoHInf 0.85, Qpot 420.0 J/g, Ea 45000.0 J/mol
#
# Subset of the source record: 497 of 10997 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
0.7500082826217018,0.0009308438574168705,0.0,0.0
0.7585042678647573,0.0009173058586810079,0.014956656930959893,0.0059
0.767566225330035,0.0008900191212748159,0.044436880700688325,0.0059
0.777859194080035,0.0008605602484046785,0.07686234096136724,0.0121
0.7890305265453126,0.0008304536184720249,0.1108578466249446,0.0121
0.8006367005904513,0.0008010201573830861,0.14493145808874203,0.0184
0.8131977357467015,0.0007710836476931534,0.18047408937763162,0.0249
0.8195969327953128,0.0007567598070320306,0.19807263776482298,0.0249
0.8351237340105904,0.000723853521280303,0.2394347538888796,0.0316
0.840603334705035,0.0007126428507906659,0.25360332162122073,0.0316
0.854855586224132,0.0006853691346100241,0.28946638575273403,0.0386
0.8687697029776045,0.0006610734976492574,0.32318614175503957,0.0457
0.8791435094012154,0.0006439260106529095,0.3475465444320393,0.0457
0.8861708260244789,0.0006329086946173217,0.36369744358114875,0.0532
0.9004138544532987,0.0006111164696174949,0.3955842756408944,0.0532
0.9144288826651046,0.000592496988368167,0.4259478934664953,0.0608
0.9212281990713542,0.0005834638460568458,0.4403402070967987,0.0608
0.9336126391755206,0.0005673532761017819,0.4659903946085561,0.0688
0.9483364806572592,0.0005509282980528089,0.4956281157421984,0.0769
0.9620753586954542,0.0005356693237087395,0.5224988222672844,0.0769
0.9768512918551764,0.0005212029917259607,0.5506081167114875,0.0854
0.9848873161607319,0.0005137258151448178,0.5655782001952471,0.0942
1.0019058165947596,0.0004986830869768701,0.5965873709645203,0.0942
1.009547689424621,0.0004925055000470316,0.6102215378029241,0.1032
1.0286900098456275,0.0004776660181564113,0.6436394884966772,0.1126
1.0386879075235793,0.00047068170045858174,0.6607061587135743,0.1126
1.0570075418551763,0.0004584380082107063,0.6913345760173402,0.1223
1.0656777214341693,0.0004530074316689145,0.7055588881697191,0.1223
1.0845392123195863,0.00044216812403748563,0.7359440390266111,0.1324
1.0936955708265303,0.0004370969343003045,0.750435598000797,0.1324
1.111400377684169,0.0004282489116632395,0.7780048631297561,0.1428
1.1199488260348636,0.0004242322509776202,0.791122167269552,0.1428
1.1380255404445858,0.0004159947559650669,0.8184573774808407,0.1536
1.1497731126017037,0.00041124789019015,0.835949944299717,0.1648
1.1745769862996207,0.0004018162176228636,0.87224064259156,0.1764
1.187842163708475,0.00039700947734171274,0.8913144588039816,0.1764
1.2018091775973634,0.00039262636123106083,0.9111663973080995,0.1884
1.2158919548326068,0.00038835172356650835,0.9309634100169597,0.1884
