# Isothermal calorimetry of a CEM III-A 42.5 N Hranice paste — blastfurnace, 36-65 % slag
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 184-CEM III-A 42.5 N Hranice-408.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM III/A 42.5 N, Hranice
# blaine: 408 m2/kg
# wb: 0.40
# temperature: 20C
# Truncated from line: 410 with assigned time: 0.75 h normalized with binder mass: 17.929 g
# Released heat up to 45 minutes (J/g of binder): 15.7
# reference fit by the depositors: Fitted affinity hydration model, B1 0.714654 h^-1, B2 2.878e-03, eta 6.6898, DoHInf 0.85, Qpot 380.0 J/g, Ea 48000.0 J/mol
#
# Subset of the source record: 499 of 9738 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
0.7509338050418428,0.0009084727365226107,0.0,0.0
0.7598774899376757,0.0008805936480257119,0.028795888636979836,0.0088
0.7693072859446204,0.0008527833871662862,0.05821162879109459,0.0088
0.7794350528717038,0.0008243779866358681,0.08878067658626017,0.0179
0.7907713158925374,0.0007944575686533093,0.12181345874228366,0.0272
0.7965273380279534,0.0007802728125866182,0.13812898801939616,0.0272
0.811040141847398,0.0007462181589908026,0.17800400696638832,0.0368
0.8207775550418424,0.0007250171332095367,0.20379085366991506,0.0368
0.8310911401112868,0.0007038843971449631,0.23030870489261393,0.0466
0.8422635576460094,0.0006820835583423312,0.25818053888101283,0.0568
0.8482775550418431,0.000671088958045972,0.27282889566242435,0.0568
0.86107716984219,0.0006488011254814607,0.3032265618922517,0.0672
0.86893019232485,0.0006357313645633357,0.32138399443550414,0.0672
0.8813711916738081,0.0006163684006295264,0.3494128174595584,0.0779
0.8950265193647802,0.0005966089968425598,0.379221620640846,0.0889
0.9023021812571415,0.0005866088040920057,0.3947172674371677,0.0889
0.9125840280453366,0.0005732233532048597,0.41617747715757764,0.0889
0.9240437177154748,0.0005589079456717655,0.4395304491893356,0.1003
0.9369346139828361,0.0005440578203486748,0.4651227218700811,0.1119
0.9507936634620027,0.0005290564697935469,0.49188651638886016,0.1119
0.963281456430753,0.0005165560730694973,0.5153847795262063,0.124
0.9713020184967247,0.0005088156747337919,0.5301880834653165,0.124
0.9874540909793641,0.0004946103664545911,0.5593598873795637,0.1363
0.9955856013960309,0.0004878449024835931,0.5737398088354677,0.1491
1.0084200740522808,0.0004776968673095556,0.5960458038326469,0.1491
1.0214837676286699,0.000468119422407771,0.6182857877246362,0.1622
1.0396107674307293,0.00045570041680354694,0.6484141334474769,0.1757
1.0489111689064234,0.00044984816419117284,0.6635736710936697,0.1757
1.0582115703821176,0.0004439959115787987,0.6785372668640663,0.1896
1.07377851916684,0.0004353034464843217,0.7031751123463932,0.1896
1.0908423212501734,0.0004258196721573657,0.7296243743849854,0.2039
1.0996187698178819,0.0004213604501586814,0.7430077933729505,0.2039
1.117004769709375,0.00041344581192544823,0.7691328882205729,0.2187
1.1256143210331597,0.00040952648117061763,0.7818866481724069,0.2339
1.1470787578821176,0.00040060241544475554,0.8131766950386143,0.2496
1.1585095575782987,0.00039611089127083955,0.8295694214424408,0.2496
1.17127838353316,0.0003911467568426634,0.8476636620451514,0.2658
1.1840472094880203,0.0003868220878795557,0.8655444098429627,0.2658
1.201848384075694,0.0003807930146101477,0.8901404206629602,0.2825
1.2174318801694444,0.00037614109727166184,0.9113721245256808,0.2825
1.2281057082944447,0.00037298017478532605,0.925764909590573,0.2997
1.2485873434940968,0.0003670745147591179,0.9530453951627319,0.3174
1.2583951505687496,0.0003646563009127139,0.9659634095699696,0.3174
1.279301590455903,0.0003595016071030464,0.9932146243608986,0.3358
1.2914151700999996,0.00035662687879572366,1.0088294073697124,0.3358
1.3152226787805557,0.000351539618055261,1.0391768314076182,0.3547
1.3269166078170134,0.0003490408237930324,1.0539233997559656,0.3742
1.3391420852475697,0.00034646882888625966,1.0692286873667822,0.3742
1.3513675626781252,0.00034429739062318985,1.0844295916543074,0.3742
1.3814871923791037,0.0003389476677372161,1.1214719503294173,0.4152
1.3935303442345726,0.00033689405412710733,1.1361226264054298,0.4152
1.4085424495405618,0.0003345483084509422,1.1542662006224929,0.4152
1.4235545548465511,0.0003322025627747771,1.172283002347554,0.4367
1.4503651288482873,0.00032824069842902635,1.2041501196354638,0.459
1.4643879559967248,0.00032640366123027346,1.2206740560940272,0.459
1.4822620317671031,0.00032406209759721033,1.2416017097608016,0.482
1.4977465152740477,0.00032209818468704424,1.2596115345817733,0.482
1.5257201480865472,0.00031890102115292914,1.2918874721328615,0.5057
1.5392973168690993,0.0003173492588480809,1.307436731523997,0.5303
1.564278480741713,0.00031468636547021827,1.3358531537883456,0.5557
1.5784185801612,0.00031336369385308527,1.351838396290989,0.5557
1.591294895807902,0.00031215923717043537,1.3663363715583854,0.5557
1.617854276233249,0.0003096748601080768,1.3960643225903155,0.582
1.6406667084164086,0.00030754097436432796,1.4214086724496087,0.6092
1.6556200504302971,0.0003064565897618914,1.4379350404793416,0.6092
1.6707466644710962,0.00030536931418153213,1.454593778235749,0.6374
1.69799123234219,0.0003034110204573858,1.4844485010979318,0.6666
1.7101091861724846,0.00030254000231359865,1.4976656968291773,0.6666
1.746934342914157,0.00030013119947744496,1.5376108099586436,0.6968
1.7677825789981414,0.00029882073037194537,1.5600875741842681,0.6968
1.7908678256140815,0.00029756541048292696,1.5848694722362024,0.7281
1.8115856922997366,0.0002965203213272219,1.6070242124208889,0.7606
1.8275414011213513,0.0002957154537936065,1.624033387267717,0.7606
1.8482592678070064,0.00029467036463790144,1.6460501496905748,0.7942
1.871608775456746,0.00029367032683605117,1.6707775875477784,0.7942
1.8949582831064857,0.000292803110799473,1.69542654638097,0.8291
1.9236353312598329,0.00029173802641254017,1.7255997921919641,0.8652
1.9469898743099634,0.0002908706233578871,1.7500915980183596,0.8652
1.968818156984117,0.0002900599066151639,1.7729168864984952,0.9028
1.9906464396582706,0.0002893354296747219,1.7956818558236147,0.9028
2.026441532770792,0.00028819405809731355,1.832892755045663,0.9417
2.0532988325754795,0.00028725434511334743,1.8607117375625464,0.9822
2.087244823243883,0.00028604365106166306,1.8957418407336146,1.0242
2.1211908139122855,0.0002849224141991966,1.93062945643559,1.0242
2.1411908902062304,0.00028468000014054154,1.951135221574808,1.0678
2.1789119307200115,0.00028480014322522696,1.989787848354674,1.1132
2.196632894939846,0.00028518618006124797,2.007969121388032,1.1132
2.238970761828952,0.0002873239911272823,2.051594584639871,1.1603
2.2629469988081183,0.0002892105577239354,2.076476216785751,1.1603
2.2869232357872855,0.00029116698954222343,2.101523702084905,1.2093
2.3197224606408007,0.00029435090858124624,2.1360918618382616,1.2603
2.3392332045237216,0.0002964607585850769,2.156840777056284,1.2603
2.3660532347361247,0.0002994030948391827,2.1856067328486555,1.3134
2.392873264948527,0.0003023454310932885,2.214656777411055,1.3134
2.429821621312035,0.0003064679309662194,2.2551471529194873,1.3686
2.47346777677536,0.0003113453833413254,2.3036844696539296,1.4262
2.500724345048268,0.0003143647807001109,2.334382950903376,1.4262
2.5394179479943375,0.00031854306554106397,2.3784640237304107,1.4861
2.5598333854807747,0.00032074760340976266,2.401956541368141,1.4861
2.580248822967211,0.0003229521412784614,2.4256110827840325,1.5486
2.623167658381992,0.0003274438432032407,2.475862698006939,1.6137
2.638207309246063,0.00032897433596264084,2.4936328384308104,1.6137
2.696456592082977,0.0003350416044667708,2.5632540526109366,1.6816
2.7264307114813064,0.0003381637206836123,2.5995757788431044,1.6816
2.7613009150160677,0.00034179581497447944,2.6422543681699433,1.7524
2.7850669971439572,0.0003442712995562352,2.6716035974704693,1.8263
2.8286623747481237,0.00034888440162535807,2.725993857185149,1.8263
2.85056338250637,0.0003512408223744801,2.753594063517765,1.9035
2.8965090972185132,0.0003561843134081368,2.8120997397617264,1.9035
2.917345367868741,0.00035860898688996456,2.838907473797339,1.9841
2.9608648181623876,0.00036356149874292135,2.895484070770991,1.9841
3.0108659371402524,0.00036911518506907854,2.961426448042255,2.0683
3.036638828913371,0.00037218350369409956,2.9958159607240766,2.1564
3.0732482995589567,0.0003766439110570634,3.0451614761901737,2.1564
3.1298702071110407,0.0003835425842390756,3.122639253216375,2.2484
3.1592692757315106,0.0003871999191725863,3.163425654360097,2.3447
3.1816829915179143,0.0003901276194187121,3.194786691701371,2.3447
3.230036394397417,0.00039644358553786896,3.263246801561398,2.4455
3.269970476428667,0.0004017719264617872,3.320620931731094,2.4455
3.3080252747403245,0.00040692582420131726,3.37601562536493,2.551
3.3524366499980287,0.0004131419050829752,3.4415666278052366,2.6615
3.3813872606886752,0.0004174288963408564,3.484848585266708,2.6615
3.43681016921997,0.00042549268493088504,3.568947088180941,2.7772
3.4826074467102677,0.0004320520894493553,3.639631931895107,2.7772
3.5250129100349215,0.00043854371313740927,3.70608436497405,2.8985
3.5621511411004585,0.00044425081154847977,3.7650981336481655,2.8985
3.597685359782642,0.0004497410852389401,3.8222792800571455,3.0257
3.649051572415563,0.00045791545170515037,3.9061894616096735,3.1591
3.7102692958381445,0.0004681674219468836,4.008236295015789,3.1591
3.747005169060494,0.00047438024825857336,4.070561856109428,3.2991
3.7995188760095173,0.00048341211378986594,4.1610968654629525,3.446
3.8416148789061433,0.0004906522318401174,4.234904453390204,3.446
3.8803463818629575,0.0004975696446640866,4.303800026747464,3.6003
3.9472546237707133,0.0005097670830657043,4.42511700029054,3.6003
3.989197788172297,0.0005177416340288962,4.502691844315557,3.7624
4.028028614719708,0.000525012396286267,4.575575645904563,3.7624
4.086029747260942,0.000536446897538724,4.686387233822247,3.9328
4.149471837613317,0.0005491291790424444,4.810352816333691,4.1118
4.180616920722856,0.0005556162624618897,4.872286115796658,4.1118
4.240942215455903,0.0005681811741643106,4.994314256649152,4.3001
4.292030211355951,0.0005789557720494148,5.099795026994046,4.3001
4.342949494057231,0.0005899943804687485,5.206932875035532,4.4981
4.412487985624208,0.0006052425173489289,5.356536136007146,4.7065
4.445476328333219,0.0006126495273266043,5.428853368281349,4.7065
4.495219946768548,0.000623919206984948,5.539570060190336,4.9258
4.565069404509333,0.0006400298372267096,5.698474728668587,4.9258
4.626095880203777,0.0006543370172484474,5.8406578939603655,5.1567
4.6803912293248695,0.0006673145879984261,5.969812916795716,5.3999
4.749838299552599,0.0006842750340168663,6.138768007714216,5.3999
4.787409517831272,0.0006936483372705456,6.23195447527128,5.6561
4.8590341147449285,0.0007116663911140533,6.413125704407054,5.6561
4.932511608137024,0.0007302817413416975,6.603837026280726,5.926
