# Isothermal calorimetry of a CEM V-A (S-V) 32.5 R Prachovice paste — composite, slag + fly ash
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 200-CEM V-A (S-V) 32.5 R Prachovice-444.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM V-A (S-V) 32.5 R Prachovice
# blaine: 444 m2/kg
# wb: 0.40
# temperature: 20C
# Truncated from line: 392 with assigned time: 0.75 h normalized with binder mass: 17.971 g
# Released heat up to 45 minutes (J/g of binder): 7.2
# reference fit by the depositors: Fitted affinity hydration model, B1 1.056049 h^-1, B2 2.455e-04, eta 8.4577, DoHInf 0.85, Qpot 420.0 J/g, Ea 45000.0 J/mol
#
# Subset of the source record: 499 of 18746 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
0.7504063946008692,0.0010202814385098578,0.0,0.0
0.7627895461850684,0.000988056197364237,0.044755747185288366,0.0013
0.7683816550175351,0.0009741768895973089,0.06450718494380905,0.0013
0.7783306567536457,0.0009505161502421692,0.09897153733103375,0.0027
0.788579104344052,0.0009275355378417225,0.13361580819672542,0.0027
0.8026913791232637,0.0008977691539377576,0.17997620975011766,0.0041
0.8110446506076379,0.0008813244142144743,0.20672646257770075,0.0056
0.8193979220920156,0.0008651664498070403,0.2329865047755835,0.0056
0.8352898519568974,0.0008368203981561332,0.2816681821361715,0.0071
0.8457305257850223,0.0008193445334729151,0.31279284227826315,0.0071
0.8592154975732171,0.0007980558191072626,0.3520470890969175,0.0087
0.8651657471391907,0.0007891487537249912,0.36904676307400897,0.0103
0.8760403131114103,0.0007732423164486157,0.39962934765462627,0.0103
0.8907541260454401,0.0007534166328395049,0.4400609574409515,0.0119
0.8989548096391893,0.0007428302580470518,0.46214740263547627,0.0119
0.9117881972259951,0.0007271003144122239,0.4960980803732557,0.0137
0.9281526720523843,0.0007082814491704274,0.5383735875247063,0.0155
0.9369075576464354,0.0006987528522422848,0.5605467513290995,0.0155
0.9494916505283797,0.0006858236564068604,0.5919076583132937,0.0173
0.9628811362054606,0.0006727468583944314,0.6246462316691609,0.0173
0.9727555699480916,0.0006633744682771161,0.648394426391363,0.0193
0.9909116300609391,0.0006474795864191661,0.6912334901917119,0.0213
1.0006237475739574,0.0006395616904951708,0.713733303217607,0.0213
1.0105296177996514,0.0006316618009544968,0.7363999380990842,0.0233
1.0300116327736113,0.000616996812104915,0.7801758967909811,0.0255
